S,id,areaname,parentid,shortname,level,sort,lng,lat,pop,GDP
1,140900,重庆市,500000,重庆,2,1,106.504959,29.533155,2991.4,"15,719.72"
2,130700,上海市,310000,上海,2,1,121.472641,31.231707,2415.27,"27,466.15"
3,110100,北京市,110000,北京,2,1,116.405289,39.904987,2172.9,24899.3
4,321000,成都市,510000,成都,2,3,104.065735,30.659462,1429.8,10056.6
5,120100,天津市,120000,天津,2,1,117.190186,39.125595,1516.81,15722.47
6,370400,广州市,440000,广州,2,5,113.28064,23.125177,"1,292.68",16875.87
7,130100,保定市,130000,保定,2,1,115.48233,38.867657,1119.4382,2050.3
8,231100,哈尔滨市,230000,哈尔滨,2,3,126.642464,45.756966,1063.6,"5,010.80"
9,429005,苏州市,320000,苏州,2,7,120.619583,31.299379,"1,061.60","14,504.07"
10,654300,深圳市,440000,深圳,2,16,114.085945,22.547001,1054.74,17502.99
11,441900,南阳市,410000,南阳,2,8,112.540916,32.999081,,
12,440500,石家庄市,130000,石家庄,2,8,114.502464,38.045475,,
13,469003,临沂市,370000,临沂,2,9,118.326447,35.065281,,
14,542300,武汉市,420000,武汉,2,12,114.298569,30.584354,,
15,330800,邯郸市,130000,邯郸,2,4,114.490685,36.612274,,
16,510700,温州市,330000,温州,2,10,120.672112,28.000574,,
17,620100,潍坊市,370000,潍坊,2,13,119.107079,36.709251,,
18,710300,周口市,410000,周口,2,17,114.649651,33.620358,,
19,511000,青岛市,370000,青岛,2,10,120.355171,36.082981,,
20,130900,杭州市,330000,杭州,2,1,120.15358,30.287458,884.4,
21,654000,郑州市,410000,郑州,2,16,113.665413,34.757977,,
22,510600,徐州市,320000,徐州,2,10,117.184814,34.261791,,
23,433100,西安市,610000,西安,2,7,108.948021,34.263161,,
24,210900,赣州市,360000,赣州,2,2,114.940277,25.850969,,
25,340800,菏泽市,370000,菏泽,2,4,115.469383,35.246532,,
26,211400,东莞市,440000,东莞,2,2,113.746262,23.046238,,
27,410881,泉州市,350000,泉州,2,6,118.589424,24.908854,,
28,533100,沈阳市,210000,沈阳,2,12,123.429092,41.796768,,
29,411000,济宁市,370000,济宁,2,6,116.587242,35.415394,,
30,340300,南京市,320000,南京,2,4,118.76741,32.041546,,
31,231000,长春市,220000,长春,2,3,125.324501,43.886841,,
32,410700,宁波市,330000,宁波,2,6,121.549789,29.868387,,
33,410800,阜阳市,340000,阜阳,2,6,115.819733,32.896969,,
34,450900,唐山市,130000,唐山,2,9,118.175392,39.635113,,
